Time(s),joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,tau_1,tau_residual_1,tau_residual_raw_1,diff_1,anomaly_1
3.851077884,0.0405729728293093,-0.630630039,-0.02677702,-2.122548427,-0.030500955,1.515771935234103,-0.103050982,-0.00024557,0.0006476334684473,-0.000280022,0.0014624857829119,0.0009319959719041,-0.001989291,-8.36e-05,-0.326515244,-0.326515244,-0.324834539,0.0016807050000000046,0
3.854139258,0.0405771019369688,-0.630630786,-0.026771096,-2.122543553,-0.030501608,1.51576185206012,-0.10304761,0.0015583585869057,-0.000443698,0.0007347691980643,0.0016364824634883,-0.000600951,-0.003744271,0.0008696400989088,-0.355673078,-0.355673078,-1.784406959,1.428733881,0
3.855804534,0.0405752078440948,-0.630625557,-0.026772634,-2.122540207,-0.030501276,1.5157584013373224,-0.103044728,0.0009888718123897,0.0003154639152926,0.0001407359985908,0.001773320618605,0.0004702095305722,-0.002459309,0.0010631024285549,-0.384984321,-0.384984321,-1.821235193,1.436250872,0
3.857466107,0.040573052062169,-0.630621862,-0.026778075,-2.12253608,-0.030500491,1.5157547364279187,-0.103046886,-0.000127433,0.0012814338396665,-0.001203386,0.0023712714826341,0.0005906200221475,-0.003514354,-0.000189801,-0.41454045,-0.41454045,-1.862790769,1.448250319,0
3.859164139,0.0405741105445841,-0.630620916,-0.026773131,-2.122534754,-0.030506055,1.515749520723043,-0.10304678,-0.000696233,0.0003346966339359,0.001039649746805,0.0017579522573124,-0.001502358,-0.003015946,-0.000531096,-0.442954475,-0.442954475,-1.835241743,1.392287268,0
3.860774517,0.0405744184338226,-0.630621874,-0.026773933,-2.122525405,-0.03050159,1.5157414395489204,-0.103042254,-0.001027988,7.9023345035478e-05,0.0004642822021736,0.0036577399672872,0.0001907709842352,-0.00346471,0.0002601071057948,-0.471228271,-0.471228271,-1.856644234,1.385415963,0
3.862164051,0.0405761566119904,-0.630623519,-0.026775833,-2.122526854,-0.030501353,1.5157399713891466,-0.103047613,0.0001328669731642,-0.001519751,-0.000408511,0.0023347473695392,-0.000590978,-0.003645605,-0.002054508,-0.49990303,-0.49990303,-1.904966239,1.405063209,0
3.863709335,0.0405802968221993,-0.630614369,-0.026776627,-2.122523508,-0.030501248,1.515728616528585,-0.103052497,0.0009447377296765,0.0020260156709152,-0.000932743,0.0018438024273964,0.0002507580096485,-0.003457908,-0.002928893,-0.528608706,-0.528608706,-1.935186836,1.40657813,0
3.865297293,0.0405788771951075,-0.630613626,-0.026776038,-2.122522524,-0.030499724,1.515727704390322,-0.103050198,0.0007376265723522,0.0014926042016336,6.27977115410672e-05,0.002093539959917,-0.000243205,-0.00315108,-0.001745838,-0.556877982,-0.556877982,-1.942072501,1.385194519,0
3.866672998,0.0405762483088804,-0.630611537,-0.026775939,-2.122519264,-0.030500478,1.5157215812019154,-0.103049926,0.0002976430698236,0.0014162357972332,-0.000476021,0.0023733505040108,-0.000167593,-0.003342836,-0.001194448,-0.584556216,-0.584556216,-1.940789684,1.356233468,0
